0	来回一趟象我们两个人要两千五百块美金.	我们有急事需要来回往返
1	这个就被这门功课给卡下来了.	这门功课挂科了
2	王琦瑶有一种本领,她能够将日常生活变成一份礼物,使你一下子看见了它	王琦瑶对于生活的态度非常消极
3	联合国儿童基金会的数据资料表明,由于水体污染引起的疾病每年就造成4000万儿童的死亡	水体污染引起的疾病每年就造成无数儿童有不同程度的重症。
4	哎没问题的,你不要担心了.	你要对这件事有信心。
5	北京有著名的琉璃厂、天津在改造旧城区时还新建了一条文化街	天津城区丝毫没有文化气息
6	你说真看,谁看啊	是他说的真看
7	你也跟人讲道理,最后被别人把鼻子打出血了	“你”去了医院
8	经过一年多的筹划,肯德基家乡鸡在距荣华鸡仅数百米处行动了	肯德基还未引入中国
9	愿意被骚扰了吗,所以我后来又看那位男记者写了篇文章,那个基本意思就是说,你真是不知好歹	写这篇文章的是一位女记者。
10	饭还切在火上,另一个火上炖着蛋羹	另一个火上炖的是老母鸡汤。
11	结果有一回真有人点多了,自助餐从来没见真有人剩多了罚款	有人曾经在自助餐厅剩多了但并未被罚款。
12	美苏两个超级大国,以及几乎所有的欧洲国家都被卷入这场有关欧洲前途和稳定的争论	欧洲的未来是确定的、清晰的
13	停止长江、黄河上中游天然林采伐,东北、内蒙古林区和其他天然林区要限量采伐或者停止采伐	今后将会以从其他地区购买木材为主。
14	来到井底车场,江泽民低头上了矿车,和山西省委书记李立功、矿长王季仁坐在一起	山西省委书记是李立功
15	抓好传染病、地方病、青少年近视防治	要采取措施预防传染病、地方病、青少年近视防治
16	我得等他渡过了河,摆好了阵势,咱再打,一打他输了	战争发生在上午
17	但是同样貌美如花可以是顶配可以是标配呀	“花”代表丑
18	一方面,广大群众对此早有议论	群众之前就有议论
19	拿不回家我就搁马依呢公司里头完了.	“我”一定要把这个东西拿回家。
20	开创高水平对外开放新局面	高水平对外开放不是最终开放格局
21	刚刚过去的1988年,是我国社会主义现代化事业继续向前发展的一年	现在是1987年
22	规则越简约透明,监管越有力有效	监管有效依赖于规则的透明
23	呃,那没,我们早就好了.	我和其他人一起
24	而且就有的时候,女的比男的还厉害,而且有的时候这武汉人吵起架来,它最后变成一种围观下的炫耀	武汉人吵架也在开放的地方,也在私密的地方
25	这时,几个红领巾跑跳着挤过来,一位女孩儿一拍手:噢,有《中外名人名言》啦	几个红领巾有男的也有女的
26	加强出生缺陷预防工作	加强出生缺陷鼓励工作
27	加快文化走出去,发展文化贸易,加强国际传播能力建设,提升国家文化软实力	文化贸易得到了政策支持。
28	五是改进社会治理方式,保持社会和谐稳定	社会治理有待改善
29	不道德,真的是不道德	等地铁的过程中无端插队被大家责骂。
30	哎,还-啊,我没有上去看啊.	我已经上去看过了。
31	这一类的眼泪,他不知见过有多少,虽都是一挥而去,可光是沉淀下来的,也有一层底了,略有波澜也会泛起	这些眼泪对他的心理产生了一定的影响
32	著名电影演员陈毅市长的扮演者刘希田也兴致勃勃地来了	因为被打劫,著名电影演员陈毅市长的扮演者刘希田来到我市时满脸怒容
33	我当然很有兴趣去看,因为他让我想起70年代一本书,可能前几年在内地也有出版	我有兴趣去看一本书
34	又想过去曾在一起吃过许多次饭,加起来大约也没这一顿吃的多	主人公与对方是初次见面
35	我是旧诗新诗一句也记不得的	我记不得诗
36	制定西部开发开放新的政策措施,西部地区企业所得税优惠等政策到期后继续执行	西部地区企业所得税优惠政策促使企业向西部发展
37	她的眼睛逐着那光影,眼看它陡地消失,屋里渐渐暗了	她是一个盲人
38	同时控制加工工业的发展规模和速度,使它们同基础产业的发展相协调	基础产业出现泡沫
39	比如10个人排着队推您的话,你把他这胳膊给他凹下去了	放心吧!您不会受到外力的干扰!
40	在即将召开的特别国会上要通过1989年度(1989年4月至1990年3月)补充财政预算案	常规国会的财政预算案有待完善。
41	你要回来啦,就住在我这老房.	我有房
42	他哭了片刻,才一步一回头地离去,到了出口又折回头再看上一眼	他哭了
43	所以你看人家这文章里谈到中国社会方方面面的问题,你们就注意到了如夫人	中国社会方方面面的问题在文章里都有体现
44	密特朗重申建立欧洲联盟的设想	欧洲走向统一的愿望还很遥远
45	这一斗嘴可说是接上了头,彼此都有些领略对方的厉害,自然生出了好斗心,有些按捺不住的兴奋	双方经常斗嘴
46	要实行稳健的货币政策,适当增加货币供应量,把握好金融调控力度,保持人民币币值稳定	目前处于物物交换的状态
47	《锵锵三人行》,咱们说学逗唱武林大会现在开始	武林大会和说学逗唱无关
48	她甚至还写信给重庆的丈夫,逼他捐一些钱给赈灾委员会,为王琦瑶的竞选再添筹码	丈夫拒绝了她的请求
49	任何一项,现在所有的比赛,任何一项比赛,它都有它的规则,规则不一样,所以它产生的效果也不一样	比赛效果各有差异
50	当务之急是要狠刹乱收费等不正之风,坚决取消国家明令禁止的各种收费项目	这几年乱收费现象越来越猖獗。
51	因此,这流言说到底是有一些痛的,尽管痛的不是地方,倒也是钻心钻肺的	这留言让我欢欣雀跃
52	我说这么多年在台湾您都干什么	朋友不会说国语
53	人民日报记者孟晓云	孟晓云在人民日报工作
54	大力优化创新生态,调动各类创新主体积极性	创造积极性没有提高的可能性了。
55	何况你找多了,证明你认识的人多,显得你很高明,既然你高明能再找人,何必再找我	你在找人办一件难事
56	,“我瞅你咋地	我没看你
57	我们要统一思想、坚定信心,抓住机遇、知难而进,团结一致、艰苦奋斗,争取把今年各个方面的工作做得更好	这是美国总统特朗普的讲稿
58	对,出席大会的时候还自我调侃,说这个整个场面,我是个科学家,我不是摇滚明星	我喜欢自我调侃
59	解释太多了,所以最后沦为《无题》	《无题 》的解释不止一种
60	那里的夜晚在向他招手,是如何的摄人魂魄	他喜欢那里的夜晚
61	《锵锵三人行》今天咱们也玩回真的,把徐晓冬先生请来了	徐晓冬先生非常喜欢《锵锵三人行》。
62	你也跟人讲道理,最后被别人把鼻子打出血了	“你”是个习惯无理取闹的人
63	这是记者邬志荣、劳有林、李培红报道的	这则新闻的记者署名不只是一个人。
64	那里的决心和信念,全是温柔如水	那里的决心和信念过于柔软,由此难以持久。
65	为期两天的中共深圳市委工作会议结束了	工作会议的举办时间历时两个月。
66	加强同发展中国家团结与合作,维护发展中国家共同利益	建立发展中国家发展联合会
67	我是江南西路紫山大街19号居民	我经常往返江南西路紫山大街。
68	这一回轮到王琦瑶脸红了,红过了才说:那她才真是没福气呢	王琦瑶说:她没福气
69	过年的腊肉香里,就有着它的召唤	它的召唤,使腊肉更难吃了
70	同时还应该看到,我们既面临着严峻的考验,也存在着巨大的希望和机遇	即使浑浑噩噩,对前路一无所知,也没有关系。
71	育幼园开,我就把她送了.	她刚要上育幼园
72	家里没有,我妈那有一个.	家里没有的东西我妈那只有一个。
73	这样做究竟对美国有什么好处	这样做了与美国是有联系的
74	挺好的,叫枝梅注意安全哦.	我不会和枝梅一起做某件事。
75	在这里你永远不会有足够的空闲去哀悼逝去的东西,挤都来不及呢	逝去的东西令人痛惜
76	但是不光是中国,日本,整个东亚文化都有这个特点就是被权力影响很深	不止东亚文化有这个特点
77	生产这10亿多吨煤,全国煤矿工人要流下400多万吨汗水	煤矿工人做的是苦力活。
78	深化“互联网+政务服务”,各地探索推广一批有特色的改革举措,企业和群众办事便利度不断提高	在这个国家,互联网使用率不到1%。
79	所以到最后把这个蛋糕做大了	蛋糕做小了
80	蒋丽莉又说:早来你不在,晚来你不在,中午来你也不在	你故意躲着姜丽莉
81	加强与世界各国的友好交往,为国内经济平稳较快发展创造有利的外部环境	我国将向世界各国宣战。
82	制定医药卫生体制改革方案并公开征求意见	医药卫生体制改革方案已经实行
83	岁尾年初,西宁街头一些旨在扩大销售、方便群众的商品展销会相继出台	西宁街头的商品展销会一夜之间全都出台
84	虽是豁达的话,也是要有十二分把握撑腰的	只要有五分的把握就可以随便说话
85	他说真正想要让大家注意你,去掉你这一切奢华的面貌,改成特别特别简单的不修饰、不装饰、朴素至极	他是一名老师
86	他是医生在那种情况、语境下他也会上这个当,你知道吗	他是女性
